exp_id,model_name,timestamp,training_time_seconds,f1_aggregate,f1_macro,precision_aggregate,recall_aggregate,f1_action,f1_actor,f1_effect,f1_evidence,f1_victim,learning_rate,batch_size,num_epochs
span_exp001,distilbert-base-uncased,2025-12-08 18:08:26,341.71,0.19315403422982888,0.17887955209810294,0.23723723723723725,0.16288659793814433,0.12867132867132866,0.28622862286228623,0.09876543209876543,0.12026726057906459,0.26046511627906976,1e-05,16,10
span_exp002,distilbert-base-uncased,2025-12-08 18:16:49,503.49,0.2465277777777778,0.23935685477770816,0.28100263852242746,0.21958762886597938,0.1758793969849246,0.3239819004524887,0.18456375838926173,0.18329938900203666,0.32905982905982906,1e-05,16,15
span_exp003,distilbert-base-uncased,2025-12-08 18:22:05,315.41,0.15541031227305735,0.12993501415520725,0.2628992628992629,0.11030927835051546,0.09830508474576272,0.24470134874759156,0.03191489361702128,0.09340659340659341,0.18134715025906734,1e-05,32,10
span_exp004,distilbert-base-uncased,2025-12-08 18:29:48,463.14,0.1876558603491272,0.17363351605750707,0.23738170347003154,0.15515463917525774,0.12181303116147307,0.2777260018639329,0.12811387900355872,0.12416851441241684,0.21634615384615385,1e-05,32,15
span_exp005,distilbert-base-uncased,2025-12-08 18:35:30,341.98,0.2676725342274378,0.25908973892890763,0.29225137278828556,0.24690721649484537,0.19753086419753085,0.35507246376811596,0.22366288492706649,0.17518248175182483,0.344,2e-05,16,10
span_exp006,distilbert-base-uncased,2025-12-08 18:43:53,502.9,0.3359781121751026,0.32207676857142875,0.3580174927113703,0.31649484536082473,0.2703379224030037,0.42642140468227424,0.2801302931596091,0.2226415094339623,0.4108527131782945,2e-05,16,15
span_exp007,distilbert-base-uncased,2025-12-08 18:49:08,315.59,0.21529235382308845,0.19984709967257897,0.25734767025089605,0.18505154639175259,0.16112531969309463,0.31716417910447764,0.14904679376083188,0.1276595744680851,0.24423963133640553,2e-05,32,10
span_exp008,distilbert-base-uncased,2025-12-08 18:56:50,462.02,0.276853679165492,0.26746246886527325,0.3055382700684505,0.25309278350515463,0.22004889975550124,0.36036036036036034,0.22512234910277323,0.19011406844106463,0.3416666666666667,2e-05,32,15
span_exp009,distilbert-base-uncased,2025-12-08 19:02:33,342.3,0.3175315568022441,0.3054789078846236,0.3483076923076923,0.29175257731958765,0.22446406052963433,0.4192982456140351,0.27483443708609273,0.2184557438794727,0.3903420523138833,3e-05,16,10
span_exp010,distilbert-base-uncased,2025-12-08 19:10:55,502.17,0.35542490646712993,0.34073893158045554,0.3690344062153163,0.3427835051546392,0.2728323699421965,0.46511627906976744,0.28436018957345977,0.26053639846743293,0.4208494208494209,3e-05,16,15
span_exp011,distilbert-base-uncased,2025-12-08 19:16:10,315.31,0.2660443407234539,0.2547747652689223,0.3064516129032258,0.23505154639175257,0.21039290240811157,0.34576888080072793,0.24067796610169492,0.17373737373737375,0.30329670329670333,3e-05,32,10
span_exp012,distilbert-base-uncased,2025-12-08 19:23:53,462.47,0.33083956774729845,0.32090988429382156,0.35769922109047336,0.3077319587628866,0.26499999999999996,0.4194107452339688,0.27840000000000004,0.21937842778793418,0.42236024844720493,3e-05,32,15
span_exp013,distilbert-base-uncased,2025-12-08 19:29:36,342.91,0.3575115457756045,0.3482558922766059,0.37794371051120046,0.3391752577319588,0.270906949352179,0.453448275862069,0.30031948881789133,0.2809611829944547,0.43564356435643564,5e-05,16,10
span_exp014,distilbert-base-uncased,2025-12-08 19:37:58,502.84,0.37214247740563533,0.3624270940385915,0.38419319429198684,0.36082474226804123,0.3256325632563256,0.45704467353951894,0.29185867895545314,0.30095238095238097,0.43664717348927873,5e-05,16,15
span_exp015,distilbert-base-uncased,2025-12-08 19:43:14,315.85,0.3045040066316662,0.2935815499960712,0.32817153067301963,0.284020618556701,0.23414634146341462,0.3951473136915078,0.24722662440570525,0.21235521235521235,0.3790322580645161,5e-05,32,10
span_exp016,distilbert-base-uncased,2025-12-08 19:50:57,462.74,0.3580880367269781,0.34623181224000765,0.3760635280771412,0.34175257731958764,0.2890716803760282,0.45117845117845123,0.28527131782945736,0.2845849802371541,0.4210526315789474,5e-05,32,15
