exp_id,model_name,timestamp,training_time_seconds,f1_aggregate,f1_macro,precision_aggregate,recall_aggregate,f1_action,f1_actor,f1_effect,f1_evidence,f1_victim,learning_rate,batch_size,num_epochs
span_exp001,roberta-base,2025-12-06 14:20:57,632.04,0.2201776649746193,0.20794481267699494,0.2863036303630363,0.1788659793814433,0.21438263229308005,0.2734864300626305,0.20127795527156547,0.09476309226932668,0.25581395348837205,1e-05,16,10
span_exp002,roberta-base,2025-12-06 14:36:29,931.82,0.27968923418423974,0.2683754229294831,0.30288461538461536,0.2597938144329897,0.2317380352644836,0.365296803652968,0.251896813353566,0.1589648798521257,0.3339805825242719,1e-05,16,15
span_exp003,roberta-base,2025-12-06 14:46:13,584.01,0.15587936292782106,0.13916433782738252,0.2274975272007913,0.11855670103092783,0.12747875354107652,0.23982869379014987,0.11683848797250858,0.056179775280898875,0.15549597855227884,1e-05,32,10
span_exp004,roberta-base,2025-12-06 15:00:43,869.76,0.22454464019110185,0.20795773337649254,0.2668559261887864,0.19381443298969073,0.21454993834771888,0.3030888030888031,0.19865319865319866,0.09978308026030368,0.2237136465324385,1e-05,32,15
span_exp005,roberta-base,2025-12-06 15:11:31,648.68,0.2830076968620485,0.2729797780349871,0.33240611961057026,0.2463917525773196,0.2590286425902864,0.34462729912875123,0.2435064935064935,0.15486725663716813,0.3628691983122363,2e-05,16,10
span_exp006,roberta-base,2025-12-06 15:27:29,957.66,0.33808116097823165,0.3286943671777233,0.3531723750701853,0.32422680412371135,0.29508196721311475,0.4162348877374784,0.27794561933534745,0.241635687732342,0.41257367387033406,2e-05,16,15
span_exp007,roberta-base,2025-12-06 15:37:26,597.31,0.2230009557183817,0.20768148609227444,0.2919099249374479,0.18041237113402062,0.253671562082777,0.26021505376344084,0.2169811320754717,0.07142857142857144,0.23611111111111108,2e-05,32,10
span_exp008,roberta-base,2025-12-06 15:52:06,879.66,0.2971460548405148,0.2887408987145775,0.32496940024479803,0.2737113402061856,0.2551640340218712,0.36894977168949766,0.25077399380804954,0.18003913894324855,0.38877755511022044,2e-05,32,15
span_exp009,roberta-base,2025-12-06 16:02:54,648.4,0.31271878646441076,0.3045298139368116,0.3602150537634409,0.27628865979381445,0.24173027989821882,0.39289055191768013,0.2740619902120718,0.2190082644628099,0.3949579831932773,3e-05,16,10
span_exp010,roberta-base,2025-12-06 16:18:52,957.3,0.3579514824797844,0.3458884219770246,0.3751412429378531,0.3422680412371134,0.2946859903381643,0.4532188841201717,0.3022900763358779,0.26909090909090905,0.41015625000000006,3e-05,16,15
span_exp011,roberta-base,2025-12-06 16:28:49,596.84,0.25406758448060074,0.24157231103417845,0.3232484076433121,0.20927835051546392,0.23224043715846993,0.3083333333333333,0.2571428571428572,0.10144927536231885,0.30869565217391304,3e-05,32,10
span_exp012,roberta-base,2025-12-06 16:43:26,877.58,0.3364539007092199,0.32719256837300137,0.3741324921135647,0.30567010309278353,0.2893725992317541,0.41341795104261103,0.28307692307692306,0.24015748031496065,0.4099378881987578,3e-05,32,15
span_exp013,roberta-base,2025-12-06 16:54:14,648.18,0.33847031963470325,0.32927307480342644,0.37915601023017903,0.30567010309278353,0.28398058252427183,0.42115027829313545,0.2819672131147541,0.25844930417495027,0.4008179959100205,5e-05,16,10
span_exp014,roberta-base,2025-12-06 17:10:11,956.32,0.3762537272973705,0.3637177457713751,0.396798170383076,0.3577319587628866,0.32235294117647056,0.47560975609756106,0.2946708463949843,0.2915129151291513,0.4344422700587084,5e-05,16,15
span_exp015,roberta-base,2025-12-06 17:20:08,597.08,0.3057901085645356,0.2898347191527278,0.3684593023255814,0.261340206185567,0.2762284196547145,0.38446969696969696,0.2512234910277325,0.15165876777251186,0.3855932203389831,5e-05,32,10
span_exp016,roberta-base,2025-12-06 17:34:47,879.2,0.36114911080711354,0.3504684583753866,0.3848396501457726,0.3402061855670103,0.3037037037037037,0.44943820224719105,0.30387596899224806,0.24954128440366974,0.4457831325301205,5e-05,32,15
