exp_id,model_name,timestamp,training_time_seconds,f1_aggregate,f1_macro,precision_aggregate,recall_aggregate,f1_action,f1_actor,f1_effect,f1_evidence,f1_victim,learning_rate,batch_size,num_epochs
span_exp001,google/electra-base-discriminator,2025-12-08 21:09:45,620.92,0.23377441713925645,0.22055425910832643,0.3006482982171799,0.19123711340206184,0.1989389920424403,0.3158974358974359,0.177257525083612,0.11471321695760597,0.29596412556053814,1e-05,16,10
span_exp002,google/electra-base-discriminator,2025-12-08 21:25:02,917.27,0.27001194743130225,0.2578546162048044,0.3210227272727273,0.2329896907216495,0.21025641025641026,0.36312323612417685,0.22569444444444445,0.1330561330561331,0.35714285714285715,1e-05,16,15
span_exp003,google/electra-base-discriminator,2025-12-08 21:34:57,594.46,0.17641228939544107,0.1522714878355329,0.24563017479300828,0.13762886597938145,0.1342281879194631,0.28627450980392155,0.09596928982725526,0.07865168539325842,0.1662337662337662,1e-05,32,10
span_exp004,google/electra-base-discriminator,2025-12-08 21:49:31,874.8,0.22121896162528218,0.19684880546986144,0.2954349698535745,0.17680412371134022,0.18258426966292135,0.3278688524590164,0.1766666666666667,0.08717948717948718,0.2099447513812155,1e-05,32,15
span_exp005,google/electra-base-discriminator,2025-12-08 21:59:53,621.9,0.3022170361726955,0.29117159589430847,0.3481182795698925,0.2670103092783505,0.24427480916030536,0.38077285579641845,0.24367088607594936,0.1760722347629797,0.41106719367588934,2e-05,16,10
span_exp006,google/electra-base-discriminator,2025-12-08 22:15:10,916.9,0.3357912648893931,0.3265514267409931,0.37326607818411095,0.30515463917525776,0.26968973747016706,0.4362606232294618,0.2715654952076677,0.21442495126705652,0.4408163265306123,2e-05,16,15
span_exp007,google/electra-base-discriminator,2025-12-08 22:25:06,595.38,0.24382418992621108,0.2306334163288119,0.32285471537807986,0.1958762886597938,0.19186046511627908,0.32146490335707023,0.21694915254237288,0.11138014527845035,0.3115124153498871,2e-05,32,10
span_exp008,google/electra-base-discriminator,2025-12-08 22:39:42,876.64,0.298041441952881,0.29080531331116977,0.33164876816171823,0.2706185567010309,0.24937655860349128,0.3638009049773756,0.2600896860986547,0.20041753653444677,0.3803418803418804,2e-05,32,15
span_exp009,google/electra-base-discriminator,2025-12-08 22:50:04,621.87,0.3229379189740601,0.3119371164293076,0.3715627095908786,0.28556701030927834,0.25548387096774194,0.4102096627164995,0.25826771653543307,0.22222222222222224,0.4135021097046414,3e-05,16,10
span_exp010,google/electra-base-discriminator,2025-12-08 23:05:22,917.65,0.35290796160361376,0.347956335740482,0.39013732833957554,0.32216494845360827,0.30280830280830284,0.4133456904541242,0.2901234567901234,0.2869022869022869,0.4466019417475728,3e-05,16,15
span_exp011,google/electra-base-discriminator,2025-12-08 23:15:16,594.29,0.26911499096929553,0.25604982261581755,0.32344428364688854,0.2304123711340206,0.21525885558583105,0.34560906515580736,0.22617124394184165,0.15023474178403756,0.3429752066115702,3e-05,32,10
span_exp012,google/electra-base-discriminator,2025-12-08 23:29:52,875.97,0.32907801418439714,0.32066597347282794,0.3659305993690852,0.29896907216494845,0.25839793281653745,0.41818181818181815,0.2823529411764706,0.2270058708414873,0.4173913043478261,3e-05,32,15
span_exp013,google/electra-base-discriminator,2025-12-08 23:40:14,622.23,0.3713646532438478,0.35778491525106715,0.4058679706601467,0.3422680412371134,0.3136792452830189,0.469763365468887,0.2870662460567824,0.2606837606837607,0.4577319587628866,5e-05,16,10
span_exp014,google/electra-base-discriminator,2025-12-08 23:55:32,917.29,0.38624764974482945,0.37502963025769,0.4032529444756029,0.37061855670103094,0.3592552026286966,0.4717314487632509,0.29573170731707316,0.29961089494163423,0.44881889763779526,5e-05,16,15
span_exp015,google/electra-base-discriminator,2025-12-09 00:05:26,594.21,0.3283141423088279,0.31539231523204625,0.38424326192121633,0.2865979381443299,0.26975476839237056,0.4063079777365491,0.27257799671592775,0.21826280623608016,0.41005802707930367,5e-05,32,10
span_exp016,google/electra-base-discriminator,2025-12-09 00:20:03,877.31,0.35637565408978245,0.3451870624583321,0.38261383796570075,0.33350515463917524,0.31927023945267957,0.43676069153776154,0.3019480519480519,0.2573099415204678,0.4106463878326996,5e-05,32,15
